kegg_gene	uniprot	pathway	pathway_name	fetched	source
mmu:100328588	O09046	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:100328588	D3Z4E0	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:100470	B1ARV3	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:104776	Q9EQ20	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:110446	Q8QZT1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:110460	Q8CAY6	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:110695	Q9DBF1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:110821	Q91ZA3	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:110821	Q3UGC8	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:11364	P45952	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:113868	Q921H8	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:11409	Q07417	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:11669	P47738	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:11669	Q544B1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:11671	P47740	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:11761	O54754	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:11761	G3X8P9	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:12035	P24288	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:12035	Q3TJN1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:12036	O35855	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:12036	O88374	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:12036	Q3ULU3	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:12040	Q6P3A8	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:13171	P53395	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:13382	O08749	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:14204	O09046	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:14204	A0A0R4J0C2	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:15107	Q61425	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:15108	Q99N15	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:15108	F7CGH1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:15356	P38060	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:15360	P54869	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:17850	P16332	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:17850	Q9CSI4	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:208715	Q8JZK9	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:208982	Q8JZS7	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:213043	Q5SGK3	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:224530	Q80X81	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:224530	A0ACM8Q290	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:227095	Q8QZS1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:231086	Q99JY0	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:235674	Q8VCH0	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:235674	Q3UKM0	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:257633	Q3URE1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:268782	Q3UEG6	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:268860	P61922	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:353371	Q9ESL0	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:353371	A0A0R4J198	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:52538	Q8BWT1	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:56357	Q9JHI5	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:58875	Q99L13	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
mmu:64059	Q9JJN4	mmu00280	Valine, leucine and isoleucine degradation	2026-09-22	https://rest.kegg.jp
