package	version	r_version	bioconductor	recorded
BiocFileCache	3.2.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
BiocParallel	1.46.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
ComplexHeatmap	2.28.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
data.table	1.18.6.1	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
dplyr	1.2.1	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
ExploreModelMatrix	1.24.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
ggplot2	4.0.3	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
ggrepel	0.9.8	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
jsonlite	2.0.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
knitr	1.52	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
limma	3.68.5	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
lme4	2.0-6	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
matrixStats	1.5.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
MsCoreUtils	1.24.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
msqrob2	1.20.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
patchwork	1.3.2	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
QFeatures	1.22.0	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
quarto	1.5.1	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
rmarkdown	2.32	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
statmod	1.5.2	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
tidyr	1.3.2	R version 4.6.1 (2026-06-24 ucrt)	3.23	2026-09-21T23:20:45+0800
