protein	gene	description	logFC	pval	adjPval
Q9EQ20	Aldh6a1	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1	-0.8696042714075	5.24526149156365e-06	0.00103436556613635
Q9JHI5	Ivd	Isovaleryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Ivd PE=1 SV=1	-1.08180934636449	1.08277560469261e-05	0.00178085422410623
Q8QZS1	Hibch	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Mus musculus GN=Hibch PE=1 SV=1	-0.480514807621937	1.56337624280123e-05	0.00218327723354093
Q9DBL1	Acadsb	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadsb PE=1 SV=1	-0.603971365643018	1.6607078348435e-05	0.00218327723354093
P53395	Dbt	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dbt PE=1 SV=2	-0.660694491877049	4.95409289814729e-05	0.00444066872506657
Q9D7J9	Echdc3	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Mus musculus GN=Echdc3 PE=1 SV=1	-0.912563560846704	6.35610867010072e-05	0.00533372182869729
O35855	Bcat2	Branched-chain-amino-acid aminotransferase, mitochondrial OS=Mus musculus GN=Bcat2 PE=1 SV=2	-0.897633932071976	0.000290318845220813	0.0176156542392444
Q8BH95	Echs1	Enoyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Echs1 PE=1 SV=1	-0.720197449728353	0.00057787686951454	0.0247689459304807
Q99MR8	Mccc1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Mus musculus GN=Mccc1 PE=1 SV=2	-0.655527728404419	0.000662498092992222	0.0269370358635188
Q3ULD5	Mccc2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Mccc2 PE=1 SV=1	-0.679468144825183	0.000809618276764741	0.0297977333756877
O08756	Hsd17b10	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=4	-0.492707953356607	0.00214886552636474	0.0554691152190611
Q99MN9	Pccb	Propionyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Pccb PE=1 SV=2	-0.418871197859397	0.00314394915284376	0.069272265133049
Q99L13	Hibadh	3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1	-0.461576008250772	0.00347018094044229	0.0743825740712196
P50136	Bckdha	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Mus musculus GN=Bckdha PE=1 SV=1	-0.480701794474194	0.00358698361289194	0.0748521871388667
P24288	Bcat1	Branched-chain-amino-acid aminotransferase, cytosolic OS=Mus musculus GN=Bcat1 PE=1 SV=2	1.91283056374048	0.00543729224136029	0.0940556166663376
P16332	Mut	Methylmalonyl-CoA mutase, mitochondrial OS=Mus musculus GN=Mut PE=1 SV=2	-0.395051113874278	0.00730685544069029	0.112133221237675
P38060	Hmgcl	Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus GN=Hmgcl PE=1 SV=2	-0.542812084831147	0.00818439819062812	0.1213506258039
Q3TLP5	Echdc2	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Mus musculus GN=Echdc2 PE=1 SV=2	-0.977777708988398	0.0171500154766859	0.192705587008687
Q9D7B6	Acad8	Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acad8 PE=1 SV=2	-0.374499667687758	0.0213162965964869	0.214440482170264
Q91ZA3	Pcca	Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Mus musculus GN=Pcca PE=1 SV=2	-0.346200867283476	0.0770866036063143	0.38146745874944
Q9D1I5	Mcee	Methylmalonyl-CoA epimerase, mitochondrial OS=Mus musculus GN=Mcee PE=1 SV=1	-0.137557436940751	0.521031282505379	0.839096520294494
