protein	n_obs	status	singular	messages	var_Run	var_BioReplicate	var_Mixture	sigma2	scope	level	var_Run:Channel	var_Run:ionID
P07724	180	ok	FALSE		1.3923304909348	0.0505810471189535	0.309743618986043	0.0255307474747911	fraction_run	protein	NA	NA
P19096	180	ok	FALSE		0.723186057654301	0.154356109444213	0.190141438854117	0.0518184191758233	fraction_run	protein	NA	NA
P27773	180	ok	FALSE		0.74357881526857	0.127833500726605	0.00438261984316175	0.0645729185876529	fraction_run	protein	NA	NA
P10649	153	ok	FALSE		2.27196315168195	0.0379903893756075	0.988457380781218	0.132265043130406	fraction_run	protein	NA	NA
P20152	173	ok	FALSE		1.18739700587972	0.107421443235843	7.40830344887358e-09	0.0814623438369596	fraction_run	protein	NA	NA
P02468	163	ok	FALSE		0.933961818087353	0.0588635914066457	5.7330794070291e-07	0.0602498138557343	fraction_run	protein	NA	NA
P06151	167	ok	FALSE		3.3413831593343	0.157814809113736	0.0829655486288742	0.193945764188782	fraction_run	protein	NA	NA
P08113	167	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.765956491544488	0.306107761050656	0	0.0569387575068966	fraction_run	protein	NA	NA
P10493	167	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.688226405946886	0.0644475106839992	1.84505089723879e-10	0.0744189299481962	fraction_run	protein	NA	NA
P17742	166	ok	FALSE		2.471087482545	0.0108062226293796	0.322250171752171	0.133571050817534	fraction_run	protein	NA	NA
P58252	167	ok	FALSE		0.464441219763953	0.0201555841672651	0.00927129186011623	0.075953594003157	fraction_run	protein	NA	NA
P63101	167	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.59303923440658	0.0351539165557939	0	0.123424276433481	fraction_run	protein	NA	NA
Q01853	167	ok	FALSE		0.797068436175556	0.104513648548419	0.316214527810132	0.0302157786508143	fraction_run	protein	NA	NA
Q05816	161	ok	FALSE		5.30010016368427	0.272026531854941	3.37144142125332e-09	0.176953912184907	fraction_run	protein	NA	NA
Q05920	167	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.724484817246858	0.106129995301077	9.93693532810907e-11	0.0307791608475535	fraction_run	protein	NA	NA
Q61554	167	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.33744065530483	0.0930630116699225	0	0.0193381853565457	fraction_run	protein	NA	NA
Q8BTM8	167	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.550650676368091	0.104821429106022	0	0.0448942686748951	fraction_run	protein	NA	NA
Q8CGN5	165	ok	FALSE		0.951003744845264	0.23304205969763	6.75026682595429e-09	0.0990456427505942	fraction_run	protein	NA	NA
Q9D8N0	163	ok	FALSE		2.07904675230664	0.0240831553019632	0.053440362972423	0.145737531534332	fraction_run	protein	NA	NA
Q9Z0F7	167	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.810531687903832	0.292866896997839	3.66106221163226e-11	0.0804370288930915	fraction_run	protein	NA	NA
P11499	156	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.58628472317766	0.0176797219733895	0	0.0506165818420085	fraction_run	protein	NA	NA
P14211	161	ok	FALSE		1.27323058506458	0.251390052628856	4.57168932048768e-05	0.0727579559050968	fraction_run	protein	NA	NA
P63017	151	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.59531505002198	0.0107740517740077	0	0.127507883401138	fraction_run	protein	NA	NA
