sample	dim1	dim2	Channel	Condition	Mixture	mixture_short	BioReplicate	Diet	Duration	dataset	n_complete_proteins	var_explained_dim1	var_explained_dim2
A-J_126	18.4612436052234	-23.3498839476441	126	Long_LF	PAMI-176_Mouse_A-J	A-J	PAMI-176_Mouse_A-J.X126	LF	Long	mouse	2308	0.402100082337114	0.208940427884028
A-J_127N	13.7154534675272	-23.7491225732654	127N	Long_LF	PAMI-176_Mouse_A-J	A-J	PAMI-176_Mouse_A-J.X127_N	LF	Long	mouse	2308	0.402100082337114	0.208940427884028
A-J_128N	15.8678064645876	-24.0100893714934	128N	Short_LF	PAMI-176_Mouse_A-J	A-J	PAMI-176_Mouse_A-J.X128_N	LF	Short	mouse	2308	0.402100082337114	0.208940427884028
A-J_129C	16.3290547855141	-24.0964032154108	129C	Short_HF	PAMI-176_Mouse_A-J	A-J	PAMI-176_Mouse_A-J.X129_C	HF	Short	mouse	2308	0.402100082337114	0.208940427884028
A-J_130N	16.4661526383419	-23.7169758849916	130N	Short_HF	PAMI-176_Mouse_A-J	A-J	PAMI-176_Mouse_A-J.X130_N	HF	Short	mouse	2308	0.402100082337114	0.208940427884028
A-J_131	15.2266251140454	-23.7935660386815	131	Short_LF	PAMI-176_Mouse_A-J	A-J	PAMI-176_Mouse_A-J.X131	LF	Short	mouse	2308	0.402100082337114	0.208940427884028
K-T_126	16.7189414697616	15.6768278516776	126	Short_LF	PAMI-176_Mouse_K-T	K-T	PAMI-176_Mouse_K-T.X126	LF	Short	mouse	2308	0.402100082337114	0.208940427884028
K-T_127C	13.9566152226031	16.7945386335053	127C	Short_HF	PAMI-176_Mouse_K-T	K-T	PAMI-176_Mouse_K-T.X127_C	HF	Short	mouse	2308	0.402100082337114	0.208940427884028
K-T_128C	23.8794186611174	22.8746866863241	128C	Long_LF	PAMI-176_Mouse_K-T	K-T	PAMI-176_Mouse_K-T.X128_C	LF	Long	mouse	2308	0.402100082337114	0.208940427884028
K-T_128N	15.6306507595724	17.4333943895324	128N	Short_LF	PAMI-176_Mouse_K-T	K-T	PAMI-176_Mouse_K-T.X128_N	LF	Short	mouse	2308	0.402100082337114	0.208940427884028
K-T_129N	29.5857227756408	23.0675700854039	129N	Long_HF	PAMI-176_Mouse_K-T	K-T	PAMI-176_Mouse_K-T.X129_N	HF	Long	mouse	2308	0.402100082337114	0.208940427884028
K-T_130C	14.9741015991058	21.2136776461014	130C	Long_LF	PAMI-176_Mouse_K-T	K-T	PAMI-176_Mouse_K-T.X130_C	LF	Long	mouse	2308	0.402100082337114	0.208940427884028
K-T_131	16.2873673638612	16.479973275793	131	Short_HF	PAMI-176_Mouse_K-T	K-T	PAMI-176_Mouse_K-T.X131	HF	Short	mouse	2308	0.402100082337114	0.208940427884028
U-Dd_126	-31.3751070168279	2.22410199597962	126	Long_HF	PAMI-194_Mouse_U-Dd	U-Dd	PAMI-194_Mouse_U-Dd.X126	HF	Long	mouse	2308	0.402100082337114	0.208940427884028
U-Dd_128C	-30.0518580981591	0.852549590492688	128C	Long_LF	PAMI-194_Mouse_U-Dd	U-Dd	PAMI-194_Mouse_U-Dd.X128_C	LF	Long	mouse	2308	0.402100082337114	0.208940427884028
U-Dd_128N	-33.4670676181779	2.01013097816225	128N	Long_HF	PAMI-194_Mouse_U-Dd	U-Dd	PAMI-194_Mouse_U-Dd.X128_N	HF	Long	mouse	2308	0.402100082337114	0.208940427884028
U-Dd_129C	-32.5380323254494	0.350750765255813	129C	Short_HF	PAMI-194_Mouse_U-Dd	U-Dd	PAMI-194_Mouse_U-Dd.X129_C	HF	Short	mouse	2308	0.402100082337114	0.208940427884028
U-Dd_129N	-34.0897647086462	2.00254556185195	129N	Long_HF	PAMI-194_Mouse_U-Dd	U-Dd	PAMI-194_Mouse_U-Dd.X129_N	HF	Long	mouse	2308	0.402100082337114	0.208940427884028
U-Dd_130N	-33.5670943258595	1.14645906326095	130N	Long_HF	PAMI-194_Mouse_U-Dd	U-Dd	PAMI-194_Mouse_U-Dd.X130_N	HF	Long	mouse	2308	0.402100082337114	0.208940427884028
U-Dd_131	-32.0102298337818	0.588834508146201	131	Short_LF	PAMI-194_Mouse_U-Dd	U-Dd	PAMI-194_Mouse_U-Dd.X131	LF	Short	mouse	2308	0.402100082337114	0.208940427884028
