run	n_psms	channel_values_zero	channel_values_na	psms_all_zero	psms_any_zero	n_psms_after_filters	channel_values_na_after	frac_values_na_after	dataset
A-J_F14	2321	0	7181	436	986	1533	1082	0.0706	mouse
A-J_F20	4907	0	10591	608	1547	3750	1915	0.0511	mouse
A-J_F22	5109	0	10559	563	1609	3655	1962	0.0537	mouse
A-J_F24	5395	0	10058	589	1517	3908	1709	0.0437	mouse
A-J_F26	4749	0	7907	446	1222	3495	1380	0.0395	mouse
A-J_F28	4269	0	7072	379	1096	3284	1426	0.0434	mouse
A-J_F30	3475	0	5381	269	854	2622	1181	0.045	mouse
A-J_F40	1928	0	1767	88	302	1677	520	0.031	mouse
A-J_F90	389	0	890	48	141	94	95	0.1011	mouse
K-T_F14	2407	0	10508	549	1554	1488	2236	0.1503	mouse
K-T_F20	4514	0	11881	610	1996	3475	3172	0.0913	mouse
K-T_F22	4807	0	12416	576	2100	3678	3338	0.0908	mouse
K-T_F24	4996	0	12390	572	2115	3841	3265	0.085	mouse
K-T_F26	4747	0	10908	494	1861	3696	3006	0.0813	mouse
K-T_F28	4301	0	9355	404	1681	3425	2810	0.082	mouse
K-T_F30	3540	0	7615	300	1430	2831	2511	0.0887	mouse
K-T_F40	1604	0	1424	50	294	1454	532	0.0366	mouse
K-T_F90	245	0	523	20	95	48	51	0.1062	mouse
U-Dd_F14	1912	0	7634	423	1146	1126	1659	0.1473	mouse
U-Dd_F20	3824	0	10683	544	1666	2519	2289	0.0909	mouse
U-Dd_F22	5399	0	9845	479	1668	4066	2476	0.0609	mouse
U-Dd_F24	5065	0	11782	519	2031	3498	3137	0.0897	mouse
U-Dd_F26	5226	0	12750	604	2110	3512	3085	0.0878	mouse
U-Dd_F28	4961	0	13512	639	2217	3210	3233	0.1007	mouse
U-Dd_F30	6564	0	8320	391	1554	5349	2584	0.0483	mouse
U-Dd_F40	5119	0	6449	238	1309	4299	2644	0.0615	mouse
U-Dd_F90	2093	0	6680	261	1138	464	706	0.1522	mouse
