run	sample	median_log2_before	dataset
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..126	12.2967340405826	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	12.5513669336374	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	12.5713826773054	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	12.328090528097	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	12.4965446383901	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	12.380025264484	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	12.4694245650304	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	12.5000635744238	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	12.5853178600222	mouse
A-J_F14	PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..131	12.3479253486023	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..126	12.7676665605624	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	13.0439510110388	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	12.9696527364588	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	12.7855232846297	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	12.9180408406621	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	12.8560974822188	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	12.889522734704	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	12.9319690729038	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	12.9893898327666	mouse
A-J_F20	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..131	12.80938697872	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..126	12.9250127227773	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	13.2131106311374	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	13.0714275071235	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	12.8839339492439	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	13.0251971937466	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	12.9282105135249	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	12.9541287577207	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	13.0826620617991	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	13.0674462831702	mouse
A-J_F22	PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..131	12.8869375792727	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..126	13.0061093097435	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	13.3429252841692	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	13.1891159386352	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	13.0485848785837	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	13.1778978768188	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	13.0431740979723	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	13.0954904479498	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	13.1946906117653	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	13.2152026031903	mouse
A-J_F24	PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..131	13.0658601803571	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..126	12.9517049129689	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	13.4223732424554	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	13.291621672059	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	13.0672735156599	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	13.2203467520085	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	13.0783616220303	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	13.1679917392483	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	13.2650849490994	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	13.2762216985343	mouse
A-J_F26	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..131	13.1034922080103	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..126	13.071779558796	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	13.5216048948945	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	13.3615411226498	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	13.2163788944687	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	13.3375414178334	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	13.1785314278242	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	13.2787750367429	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	13.4077120790486	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	13.385880124928	mouse
A-J_F28	PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw_Abundance..131	13.2244683777011	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..126	13.0140903768006	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	13.4615185870042	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	13.2540781639288	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	13.1533194665086	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	13.2461588669857	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	13.13250730308	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	13.2146364688554	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	13.3057154444478	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	13.3401997129064	mouse
A-J_F30	PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw_Abundance..131	13.1886813652767	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..126	13.5529938905255	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	14.1610117842317	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	13.9677627945245	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	13.8288590218688	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	13.8810869725466	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	13.8151180896904	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	13.8923732649041	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	13.9615097249635	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	13.9313296228814	mouse
A-J_F40	PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw_Abundance..131	13.8955579059658	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..126	11.669640954148	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	12.1461266302532	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	11.6876023122339	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	11.7342541446293	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	11.7379455563267	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	11.8641092471782	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	11.828880907612	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	11.9590096971147	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	11.7450788090506	mouse
A-J_F90	PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw_Abundance..131	11.6765467809807	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..126	11.6628741497567	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	11.8401089616827	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	11.5531885978667	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	11.4545265407164	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	11.9108479437116	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	12.0796794832227	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	11.7400555579792	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	11.6359978755029	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	11.1073817065411	mouse
K-T_F14	PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw_Abundance..131	11.7550351456832	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..126	12.4779294734366	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	12.5975411471939	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	12.3660029174242	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	12.3018034457558	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	12.6651073908346	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	12.6490988356454	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	12.4495417026507	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	12.3358988089008	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	11.7531419752647	mouse
K-T_F20	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw_Abundance..131	12.4211206152224	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..126	12.5132239489943	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	12.6305696606852	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	12.4485881946928	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	12.3952180060511	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	12.6418994935872	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	12.766974423907	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	12.5146263709203	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	12.4174981973835	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	11.7687967385271	mouse
K-T_F22	PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw_Abundance..131	12.524405818781	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..126	12.4928354123214	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..127N	12.5937893765983	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..127C	12.3591557885032	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..128N	12.308705528696	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..128C	12.6137315377836	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..129N	12.7081787924705	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..129C	12.4482410722111	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..130N	12.3532245818714	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..130C	11.6868877012256	mouse
K-T_F24	PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw_Abundance..131	12.397146525329	mouse
K-T_F26	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw_Abundance..126	12.6570532158377	mouse
