run	n_psms	n_ions	n_proteins	n_channels
"A-J_F14"	2474	2023	994	10
"A-J_F20"	5235	4721	1770	10
"A-J_F22"	5482	4504	1766	10
"A-J_F24"	5780	4788	1858	10
"A-J_F26"	5123	4285	1707	10
"A-J_F28"	4626	4056	1570	10
"A-J_F30"	3769	3213	1337	10
"A-J_F40"	2143	1998	759	10
"A-J_F90"	481	125	74	10
"K-T_F14"	2519	2224	1110	10
"K-T_F20"	4752	4456	1784	10
"K-T_F22"	5133	4771	1922	10
"K-T_F24"	5303	4866	1971	10
"K-T_F26"	5070	4660	1828	10
"K-T_F28"	4635	4315	1730	10
"K-T_F30"	3831	3559	1471	10
"K-T_F40"	1783	1716	700	10
"K-T_F90"	289	63	35	10
"U-Dd_F14"	2086	1626	943	10
"U-Dd_F20"	4026	3119	1510	10
"U-Dd_F22"	5662	4790	1867	10
"U-Dd_F24"	5404	4245	1940	10
"U-Dd_F26"	5629	4321	1918	10
"U-Dd_F28"	5328	4019	1914	10
"U-Dd_F30"	7095	6175	1885	10
"U-Dd_F40"	5635	5061	1396	10
"U-Dd_F90"	2451	701	293	10
