Run	Mixture	Fraction	run_short	n_channels	n_reference	conditions	n_psms
"PAMI-176_Mouse_A-J_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_14pctACN_25cm_120min_20160223"	"A-J_F14"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	2474
"PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_20pctACN_25cm_120min_20160223"	"A-J_F20"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	5235
"PAMI-176_Mouse_A-J_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_22pctACN_25cm_120min_20160223"	"A-J_F22"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	5482
"PAMI-176_Mouse_A-J_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_24pctACN_25cm_120min_20160223"	"A-J_F24"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	5780
"PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_26pctACN_25cm_120min_20160223"	"A-J_F26"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	5123
"PAMI-176_Mouse_A-J_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_28pctACN_25cm_120min_20160223"	"A-J_F28"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	4626
"PAMI-176_Mouse_A-J_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_30pctACN_25cm_120min_20160223"	"A-J_F30"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	3769
"PAMI-176_Mouse_A-J_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_40pctACN_25cm_120min_20160223"	"A-J_F40"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	2143
"PAMI-176_Mouse_A-J_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_A-J"	"40ug_90pctACN_25cm_120min_20160223"	"A-J_F90"	10	2	"Long_LF;Long_M;Norm;Short_HF;Short_LF"	481
"PAMI-176_Mouse_K-T_TMT_40ug_14pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_14pctACN_25cm_120min_20160223"	"K-T_F14"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	2519
"PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_20pctACN_25cm_120min_20160223"	"K-T_F20"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	4752
"PAMI-176_Mouse_K-T_TMT_40ug_22pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_22pctACN_25cm_120min_20160223"	"K-T_F22"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	5133
"PAMI-176_Mouse_K-T_TMT_40ug_24pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_24pctACN_25cm_120min_20160223"	"K-T_F24"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	5303
"PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_26pctACN_25cm_120min_20160223"	"K-T_F26"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	5070
"PAMI-176_Mouse_K-T_TMT_40ug_28pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_28pctACN_25cm_120min_20160223"	"K-T_F28"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	4635
"PAMI-176_Mouse_K-T_TMT_40ug_30pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_30pctACN_25cm_120min_20160223"	"K-T_F30"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	3831
"PAMI-176_Mouse_K-T_TMT_40ug_40pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_40pctACN_25cm_120min_20160223"	"K-T_F40"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	1783
"PAMI-176_Mouse_K-T_TMT_40ug_90pctACN_25cm_120min_20160223_OT.raw"	"PAMI-176_Mouse_K-T"	"40ug_90pctACN_25cm_120min_20160223"	"K-T_F90"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	289
"PAMI-194_Mouse_U-Dd_TMT_40ug_14pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_14pctACN_25cm_120min_20160426"	"U-Dd_F14"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	2086
"PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_20pctACN_25cm_120min_20160426"	"U-Dd_F20"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	4026
"PAMI-194_Mouse_U-Dd_TMT_40ug_22pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_22pctACN_25cm_120min_20160426"	"U-Dd_F22"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	5662
"PAMI-194_Mouse_U-Dd_TMT_40ug_24pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_24pctACN_25cm_120min_20160426"	"U-Dd_F24"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	5404
"PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_26pctACN_25cm_120min_20160426"	"U-Dd_F26"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	5629
"PAMI-194_Mouse_U-Dd_TMT_40ug_28pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_28pctACN_25cm_120min_20160426"	"U-Dd_F28"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	5328
"PAMI-194_Mouse_U-Dd_TMT_40ug_30pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_30pctACN_25cm_120min_20160426"	"U-Dd_F30"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	7095
"PAMI-194_Mouse_U-Dd_TMT_40ug_40pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_40pctACN_25cm_120min_20160426"	"U-Dd_F40"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	5635
"PAMI-194_Mouse_U-Dd_TMT_40ug_90pctACN_25cm_120min_20160426_OT.raw"	"PAMI-194_Mouse_U-Dd"	"40ug_90pctACN_25cm_120min_20160426"	"U-Dd_F90"	10	2	"Long_HF;Long_LF;Long_M;Norm;Short_HF;Short_LF"	2451
