model	scope	structure	level	contrast	alpha	n_tested	n_fit_error	n_significant	n_up_in_HF	n_down_in_HF
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_8wk	0.01	3944	724	54	17	37
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_18wk	0.01	3780	724	19	16	3
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_average	0.01	3780	724	95	49	46
fraction_run_mixed	fraction_run	mixed	protein	interaction	0.01	3780	724	8	7	1
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_8wk	0.01	3949	734	12	4	8
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_18wk	0.01	3785	734	9	4	5
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_average	0.01	3785	734	13	5	8
fraction_run_naive	fraction_run	naive	protein	interaction	0.01	3785	734	4	3	1
mixture_mixed	mixture	mixed	protein	HF_vs_LF_8wk	0.01	3866	808	7	0	7
mixture_mixed	mixture	mixed	protein	HF_vs_LF_18wk	0.01	3708	808	0	0	0
mixture_mixed	mixture	mixed	protein	HF_vs_LF_average	0.01	3708	808	12	5	7
mixture_mixed	mixture	mixed	protein	interaction	0.01	3708	808	0	0	0
mixture_naive	mixture	naive	protein	HF_vs_LF_8wk	0.01	3863	820	1	0	1
mixture_naive	mixture	naive	protein	HF_vs_LF_18wk	0.01	3705	820	0	0	0
mixture_naive	mixture	naive	protein	HF_vs_LF_average	0.01	3705	820	0	0	0
mixture_naive	mixture	naive	protein	interaction	0.01	3705	820	0	0	0
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_8wk	0.01	3645	1011	83	30	53
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_18wk	0.01	3610	1011	33	23	10
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_average	0.01	3610	1011	133	79	54
psm_mixed	fraction_run	mixed	psm	interaction	0.01	3610	1011	9	8	1
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_8wk	0.05	3944	724	141	66	75
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_18wk	0.05	3780	724	112	76	36
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_average	0.05	3780	724	251	154	97
fraction_run_mixed	fraction_run	mixed	protein	interaction	0.05	3780	724	40	33	7
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_8wk	0.05	3949	734	12	4	8
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_18wk	0.05	3785	734	35	18	17
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_average	0.05	3785	734	34	16	18
fraction_run_naive	fraction_run	naive	protein	interaction	0.05	3785	734	6	4	2
mixture_mixed	mixture	mixed	protein	HF_vs_LF_8wk	0.05	3866	808	54	22	32
mixture_mixed	mixture	mixed	protein	HF_vs_LF_18wk	0.05	3708	808	19	14	5
mixture_mixed	mixture	mixed	protein	HF_vs_LF_average	0.05	3708	808	139	85	54
mixture_mixed	mixture	mixed	protein	interaction	0.05	3708	808	6	5	1
mixture_naive	mixture	naive	protein	HF_vs_LF_8wk	0.05	3863	820	1	0	1
mixture_naive	mixture	naive	protein	HF_vs_LF_18wk	0.05	3705	820	0	0	0
mixture_naive	mixture	naive	protein	HF_vs_LF_average	0.05	3705	820	0	0	0
mixture_naive	mixture	naive	protein	interaction	0.05	3705	820	0	0	0
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_8wk	0.05	3645	1011	165	84	81
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_18wk	0.05	3610	1011	143	97	46
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_average	0.05	3610	1011	322	203	119
psm_mixed	fraction_run	mixed	psm	interaction	0.05	3610	1011	31	23	8
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_8wk	0.1	3944	724	238	120	118
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_18wk	0.1	3780	724	213	141	72
fraction_run_mixed	fraction_run	mixed	protein	HF_vs_LF_average	0.1	3780	724	454	283	171
fraction_run_mixed	fraction_run	mixed	protein	interaction	0.1	3780	724	55	42	13
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_8wk	0.1	3949	734	12	4	8
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_18wk	0.1	3785	734	78	45	33
fraction_run_naive	fraction_run	naive	protein	HF_vs_LF_average	0.1	3785	734	42	19	23
fraction_run_naive	fraction_run	naive	protein	interaction	0.1	3785	734	7	5	2
mixture_mixed	mixture	mixed	protein	HF_vs_LF_8wk	0.1	3866	808	124	61	63
mixture_mixed	mixture	mixed	protein	HF_vs_LF_18wk	0.1	3708	808	58	39	19
mixture_mixed	mixture	mixed	protein	HF_vs_LF_average	0.1	3708	808	329	211	118
mixture_mixed	mixture	mixed	protein	interaction	0.1	3708	808	18	14	4
mixture_naive	mixture	naive	protein	HF_vs_LF_8wk	0.1	3863	820	2	0	2
mixture_naive	mixture	naive	protein	HF_vs_LF_18wk	0.1	3705	820	0	0	0
mixture_naive	mixture	naive	protein	HF_vs_LF_average	0.1	3705	820	6	2	4
mixture_naive	mixture	naive	protein	interaction	0.1	3705	820	0	0	0
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_8wk	0.1	3645	1011	245	132	113
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_18wk	0.1	3610	1011	246	163	83
psm_mixed	fraction_run	mixed	psm	HF_vs_LF_average	0.1	3610	1011	509	321	188
psm_mixed	fraction_run	mixed	psm	interaction	0.1	3610	1011	49	35	14
