run	n_psms	n_ions	n_proteins	n_channels	dataset
"Mixture1_01"	21024	20048	4073	10	"spikein1"
"Mixture1_02"	20958	19881	4105	10	"spikein1"
"Mixture1_03"	21342	20291	4115	10	"spikein1"
"Mixture2_01"	21427	20475	4120	10	"spikein1"
"Mixture2_02"	21066	19936	4071	10	"spikein1"
"Mixture2_03"	21164	20201	4113	10	"spikein1"
"Mixture3_01"	21411	20420	4176	10	"spikein1"
"Mixture3_02"	21455	20471	4150	10	"spikein1"
"Mixture3_03"	21296	20212	4145	10	"spikein1"
"Mixture4_01"	21211	20162	4069	10	"spikein1"
"Mixture4_02"	21326	20330	4074	10	"spikein1"
"Mixture4_03"	20781	19768	4017	10	"spikein1"
"Mixture5_01"	21338	20206	4111	10	"spikein1"
"Mixture5_02"	21012	19974	4046	10	"spikein1"
"Mixture5_03"	21132	20048	4106	10	"spikein1"
"Mixture1_01"	26542	24782	4673	10	"spikein1_ms2"
"Mixture1_02"	27093	25133	4749	10	"spikein1_ms2"
"Mixture1_03"	26920	24978	4709	10	"spikein1_ms2"
"Mixture2_01"	26325	24568	4632	10	"spikein1_ms2"
"Mixture2_02"	25542	23957	4533	10	"spikein1_ms2"
"Mixture2_03"	26561	24810	4710	10	"spikein1_ms2"
"Mixture3_01"	26823	25035	4726	10	"spikein1_ms2"
"Mixture3_02"	27018	25193	4712	10	"spikein1_ms2"
"Mixture3_03"	27050	25057	4739	10	"spikein1_ms2"
"Mixture4_01"	26700	24836	4701	10	"spikein1_ms2"
"Mixture4_02"	26274	24403	4595	10	"spikein1_ms2"
"Mixture4_03"	26602	24642	4627	10	"spikein1_ms2"
"Mixture5_01"	26514	24543	4631	10	"spikein1_ms2"
"Mixture5_02"	26924	25005	4714	10	"spikein1_ms2"
"Mixture5_03"	26407	24625	4714	10	"spikein1_ms2"
"A-J_F14"	2474	2023	994	10	"mouse"
"A-J_F20"	5235	4721	1770	10	"mouse"
"A-J_F22"	5482	4504	1766	10	"mouse"
"A-J_F24"	5780	4788	1858	10	"mouse"
"A-J_F26"	5123	4285	1707	10	"mouse"
"A-J_F28"	4626	4056	1570	10	"mouse"
"A-J_F30"	3769	3213	1337	10	"mouse"
"A-J_F40"	2143	1998	759	10	"mouse"
"A-J_F90"	481	125	74	10	"mouse"
"K-T_F14"	2519	2224	1110	10	"mouse"
"K-T_F20"	4752	4456	1784	10	"mouse"
"K-T_F22"	5133	4771	1922	10	"mouse"
"K-T_F24"	5303	4866	1971	10	"mouse"
"K-T_F26"	5070	4660	1828	10	"mouse"
"K-T_F28"	4635	4315	1730	10	"mouse"
"K-T_F30"	3831	3559	1471	10	"mouse"
"K-T_F40"	1783	1716	700	10	"mouse"
"K-T_F90"	289	63	35	10	"mouse"
"U-Dd_F14"	2086	1626	943	10	"mouse"
"U-Dd_F20"	4026	3119	1510	10	"mouse"
"U-Dd_F22"	5662	4790	1867	10	"mouse"
"U-Dd_F24"	5404	4245	1940	10	"mouse"
"U-Dd_F26"	5629	4321	1918	10	"mouse"
"U-Dd_F28"	5328	4019	1914	10	"mouse"
"U-Dd_F30"	7095	6175	1885	10	"mouse"
"U-Dd_F40"	5635	5061	1396	10	"mouse"
"U-Dd_F90"	2451	701	293	10	"mouse"
