column	reason
"Confidence"	"Proteome Discoverer confidence class; expected High only after FDR control"
"Identifying.Node"	"Mascot node (SwissProt or Sigma UPS search) that produced the PSM"
"PSM.Ambiguity"	"Unambiguous, Selected or Rejected by the PD consensus step"
"Annotated.Sequence"	"peptide sequence, part of the ion identifier"
"Modifications"	"modification string, part of the ion identifier"
"Marked.as"	"spike-in only: whether the Sigma UPS node marked the PSM as UPS"
"X..Protein.Groups"	"number of protein groups the PSM maps to"
"X..Proteins"	"number of proteins the PSM maps to"
"Master.Protein.Accessions"	"master protein of the group"
"Master.Protein.Descriptions"	"description of the master protein, used for the keyword check"
"Protein.Accessions"	"all proteins the peptide maps to; ';' separates a group, used as the protein identifier as in the vignette"
"Charge"	"precursor charge, part of the ion identifier"
"Rank"	"PSM rank for the spectrum"
"Search.Engine.Rank"	"Mascot rank"
"MS.Order"	"MS level of the identifying scan"
"Isolation.Interference...."	"per cent of the isolation window intensity not from the precursor"
"Average.Reporter.S.N"	"mean reporter signal to noise"
"Ion.Inject.Time..ms."	"ion injection time of the quantification scan"
"Spectrum.File"	"raw file name; the run identifier joined to the annotation"
"First.Scan"	"scan number, part of the PSM identifier"
"Quan.Info"	"PD quantification flags"
"Ions.Score"	"Mascot ion score"
"Percolator.q.Value"	"Percolator PSM q-value"
"Percolator.PEP"	"Percolator posterior error probability"
"Abundance..126"	"reporter ion intensity"
"Abundance..127N"	"reporter ion intensity"
"Abundance..127C"	"reporter ion intensity"
"Abundance..128N"	"reporter ion intensity"
"Abundance..128C"	"reporter ion intensity"
"Abundance..129N"	"reporter ion intensity"
"Abundance..129C"	"reporter ion intensity"
"Abundance..130N"	"reporter ion intensity"
"Abundance..130C"	"reporter ion intensity"
"Abundance..131"	"reporter ion intensity"
