acquisition	contrast	n_ups	n_hela	expected_log2fc	ups_median	ups_q25	ups_q75	ups_iqr	hela_median	hela_iqr	bias	observed_over_expected
MS2	0.667 - 0.5	40	4797	0.413594082409175	0.181868576211274	0.149784115559207	0.217274882342047	0.0674907667828395	0.00121183711773432	0.0307691298860761	-0.231725506197901	0.439727220350674
MS2	1 - 0.667	40	4797	0.586405917590825	0.285982246197144	0.253056607474278	0.349919680054128	0.0968630725798492	-0.00385967822339606	0.0311911579641714	-0.300423671393681	0.487686494317906
MS2	1 - 0.5	40	4797	1	0.452157157500149	0.423592926296188	0.568950559840538	0.14535763354435	-0.00334481133355535	0.0307664233634804	-0.547842842499851	0.452157157500149
MS2	0.5 - 0.125	40	4797	2	0.500021187756597	0.413498651774826	0.654048410629365	0.240549758854539	-0.00554146119085219	0.0306270548834767	-1.4999788122434	0.250010593878299
MS2	0.667 - 0.125	40	4797	2.41359408240918	0.700259110660783	0.570412629130117	0.870983506103817	0.3005708769737	-0.00448137039004637	0.030319655129046	-1.71333497174839	0.290131267624673
MS2	1 - 0.125	40	4797	3	0.978231561037652	0.83702237545987	1.21473117561281	0.377708800152935	-0.00839409041458739	0.0325103135766905	-2.02176843896235	0.326077187012551
SPS-MS3	0.667 - 0.5	40	4195	0.413594082409175	0.292622965111127	0.253116701658429	0.353388143898032	0.100271442239603	-0.00372192822060757	0.058427836602769	-0.120971117298048	0.707512456190392
SPS-MS3	1 - 0.667	40	4195	0.586405917590825	0.436935975924901	0.372434879956711	0.485718109465368	0.113283229508657	-0.0018348129354212	0.0564546309298534	-0.149469941665924	0.745108401565928
SPS-MS3	1 - 0.5	40	4195	1	0.737785036000935	0.609597674647258	0.834175746943351	0.224578072296092	-0.00447624698212035	0.0541361038995365	-0.262214963999066	0.737785036000935
SPS-MS3	0.5 - 0.125	40	4195	2	1.13517139571585	0.883879065168209	1.33872769015724	0.454848624989029	-0.00444158598205413	0.0573545585238319	-0.86482860428415	0.567585697857925
SPS-MS3	0.667 - 0.125	40	4195	2.41359408240918	1.41699068980359	1.0791969323098	1.64905387387803	0.569856941568233	-0.00809445217815541	0.0565825835957983	-0.996603392605585	0.587087406341829
SPS-MS3	1 - 0.125	40	4195	3	1.86277044277825	1.48913516713788	2.14300728717333	0.653872120035447	-0.00877004817435317	0.0569055466097774	-1.13722955722175	0.620923480926083
