acquisition	is_ups	interference_bin	n_psms	median_log2fc	q25	q75	expected
MS2	FALSE	0-10	97628	0.00699583937726445	-0.0737989602820339	0.0881669836382435	3
MS2	FALSE	10-20	60805	0.00667551969890745	-0.0666208640411483	0.0801131152823338	3
MS2	FALSE	20-30	56480	0.00782911643926099	-0.0633716669099842	0.0787068447566437	3
MS2	FALSE	30-40	46941	0.00867262817994963	-0.0628083823039347	0.0790260976562536	3
MS2	FALSE	40-50	35897	0.00792104853045572	-0.0627207937770322	0.0789324694084339	3
MS2	FALSE	50-75	42293	0.0067938720621985	-0.0677691104188334	0.081422159439736	3
MS2	FALSE	75-100	9022	0.00915814939716242	-0.0795403559904107	0.0948842720079401	3
MS2	TRUE	0-10	508	1.15965240861449	0.760146662607653	1.58351600266311	3
MS2	TRUE	10-20	356	1.04390300771165	0.582947770224636	1.51304313703825	3
MS2	TRUE	20-30	332	1.0136192229281	0.679648996782984	1.45511763672782	3
MS2	TRUE	30-40	277	0.95144338597677	0.562899215649699	1.37365129294484	3
MS2	TRUE	40-50	188	0.820507647566589	0.537460075897532	1.1586609857593	3
MS2	TRUE	50-75	174	0.707333391657534	0.449326245009495	1.11685553066159	3
MS2	TRUE	75-100	48	0.811002454531742	0.443938400406064	1.13939832126281	3
SPS-MS3	FALSE	0-10	87795	0.00669951649962641	-0.120362239592147	0.135123859054828	3
SPS-MS3	FALSE	10-20	54619	0.00867442601239787	-0.108470567247283	0.126184750004906	3
SPS-MS3	FALSE	20-30	44592	0.00785099529560096	-0.11262589239907	0.12796522740616	3
SPS-MS3	FALSE	30-40	33023	0.00749469460770413	-0.115574302505197	0.13142385981599	3
SPS-MS3	FALSE	40-50	23696	0.00783260606399416	-0.11738058350706	0.130812024305806	3
SPS-MS3	FALSE	50-75	24564	0.00848866842230667	-0.123739988475852	0.138730449332712	3
SPS-MS3	FALSE	75-100	6019	0.00588932118214736	-0.150168343584749	0.16230009976779	3
SPS-MS3	TRUE	0-10	341	2.04234644439968	1.26576480770256	2.5539034321831	3
SPS-MS3	TRUE	10-20	244	1.85618534395121	1.27173827898691	2.35705606409088	3
SPS-MS3	TRUE	20-30	223	1.90738593808071	1.2623366344102	2.31672923243192	3
SPS-MS3	TRUE	30-40	175	1.6162183822628	1.00630018542769	2.13923125661026	3
SPS-MS3	TRUE	40-50	95	1.65709235676713	0.623730251429328	2.25968488570346	3
SPS-MS3	TRUE	50-75	75	1.66501029944687	0.831141083623771	2.15472521147709	3
SPS-MS3	TRUE	75-100	25	1.59371530574769	0.5293734785583	1.94820033804791	3
