acquisition	protein	n_contrasts	slope
SPS-MS3	P02787ups	6	0.654401070373048
SPS-MS3	P04040ups	6	0.60379386257439
SPS-MS3	P05413ups	6	0.668848092031189
SPS-MS3	P08758ups	6	0.458012510809362
SPS-MS3	P10636-8ups	6	0.79117032547709
SPS-MS3	P12081ups	6	0.710282261920227
SPS-MS3	P62937ups	6	0.164883175977129
SPS-MS3	P62988ups	6	0.0986926027122434
SPS-MS3	P68871ups	6	0.789843805222319
SPS-MS3	P16083ups	6	0.715920834442316
SPS-MS3	Q06830ups	6	0.194655554807711
SPS-MS3	P02768ups	6	0.457904837803558
SPS-MS3	P02788ups	6	0.601703665550319
SPS-MS3	P01344ups	6	0.689000449046318
SPS-MS3	O76070ups	6	0.711510019789098
SPS-MS3	O00762ups	6	0.808577081521508
SPS-MS3	P10599ups	6	0.458658688651787
SPS-MS3	P41159ups	6	0.820006702145665
SPS-MS3	P00915ups	6	0.614182451296339
SPS-MS3	P01375ups	6	0.829119160102269
SPS-MS3	P02741ups	6	0.5900703887264
SPS-MS3	P63165ups	6	0.60768654738156
SPS-MS3	P15559ups	6	0.62216332407014
SPS-MS3	P01579ups	6	0.52931818362242
SPS-MS3	P02144ups	6	0.669881935955225
SPS-MS3	P01031ups	6	0.576227442881164
SPS-MS3	P01008ups	6	0.702430139944482
SPS-MS3	P61626ups	6	0.391536427110197
SPS-MS3	P02753ups	6	0.519716618441291
SPS-MS3	P10145ups	6	0.671171421686783
SPS-MS3	P69905ups	6	0.20205779505533
SPS-MS3	P09211ups	6	0.398275091169268
SPS-MS3	P00441ups	6	0.775484071383398
SPS-MS3	P99999ups	6	0.569347938426611
SPS-MS3	P00918ups	6	0.722819659429557
SPS-MS3	P06396ups	6	0.612396212968078
SPS-MS3	P01133ups	6	0.470572209903181
SPS-MS3	P00167ups	6	0.678386144882966
SPS-MS3	P00709ups	6	0.44770156780327
SPS-MS3	P01127ups	6	0.520070998494363
MS2	O00762ups	6	0.372705677450069
MS2	P00918ups	6	0.395513126165583
MS2	P01008ups	6	0.467097496824347
MS2	P01344ups	6	0.371054745615044
MS2	P02144ups	6	0.261195684095111
MS2	P02768ups	6	0.356676145350098
MS2	P02787ups	6	0.378466879780792
MS2	P02788ups	6	0.285575359248275
MS2	P04040ups	6	0.272417271036618
MS2	P05413ups	6	0.491769946933814
MS2	P06396ups	6	0.227255378105703
MS2	P08758ups	6	0.282569986570075
MS2	P10599ups	6	0.269468545249078
MS2	P10636-8ups	6	0.389314764900029
MS2	P12081ups	6	0.409448848373498
MS2	P41159ups	6	0.548103589754256
MS2	P62937ups	6	0.154045315457359
MS2	P62988ups	6	0.0634695978368226
MS2	P69905ups	6	0.192778345397432
MS2	P99999ups	6	0.264823377510371
MS2	Q06830ups	6	0.1380598473571
MS2	P01579ups	6	0.274839790540358
MS2	O76070ups	6	0.301230942574116
MS2	P00915ups	6	0.509638005118082
MS2	P63165ups	6	0.251073237306418
MS2	P09211ups	6	0.228079155123984
MS2	P68871ups	6	0.348683625374473
MS2	P01375ups	6	0.484318660474443
MS2	P61626ups	6	0.292085270658081
MS2	P01133ups	6	0.336966949532024
MS2	P01031ups	6	0.430395641532755
MS2	P01127ups	6	0.272182582300426
MS2	P02741ups	6	0.349114023378231
MS2	P02753ups	6	0.325291690657553
MS2	P10145ups	6	0.265280378759509
MS2	P00167ups	6	0.261046750602407
MS2	P00441ups	6	0.262427568418788
MS2	P00709ups	6	0.390822725085516
MS2	P16083ups	6	0.405034730106146
MS2	P15559ups	6	0.32574497019206
