acquisition	design	variant	contrast	n_fp	median_logfc	median_abs_logfc	frac_negative	frac_abs_below_0.1	frac_abs_below_0.2	median_se
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.667	3	-0.0757374	0.0987943	0.666666666666667	0.666666666666667	1	0.0265804
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.5	10	-0.05152145	0.20973	0.7	0.3	0.5	0.05681115
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.125	16	-0.0519531	0.0743014	0.625	0.625	0.6875	0.0202982
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.5	3	-0.052031	0.0788708	0.666666666666667	1	1	0.0211368
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.125	11	-0.0567847	0.0652931	0.818181818181818	0.636363636363636	0.818181818181818	0.016239
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	6	-0.3346305	0.567316	0.666666666666667	0	0.333333333333333	0.110203
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.125	1	1.57031	1.57031	0	0	0	0.276637
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.667	1	0.195737	0.195737	0	0	1	0.0488867
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.5	1	0.638143	0.638143	0	0	0	0.132287
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.125	6	0.2709188	0.3833595	0.333333333333333	0.333333333333333	0.333333333333333	0.09646425
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.667 - 0.5	2	0.0295723	0.0825147	0.5	0.5	1	0.0213415
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.667 - 0.125	5	-0.0583698	0.0663089	0.8	0.6	0.6	0.016941
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.5 - 0.125	3	0.544538	0.577899	0.333333333333333	0	0	0.132287
