protein	n_obs	status	singular	messages	var_Run	var_Mixture	sigma2	acquisition	design	level	reference	structure	var_Run:ionID	var_Run:Channel
A0AVT1	120	ok	FALSE		0.123635104457272	0.0503960469290414	0.0018086002449737	ms2	balanced	protein	drop	mixed	NA	NA
A0FGR8	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.0815517493182309	6.37975112897653e-13	0.00272666772251837	ms2	balanced	protein	drop	mixed	NA	NA
A0MZ66	120	ok	FALSE		0.0499352995667138	0.0536057772379383	0.00278845986909532	ms2	balanced	protein	drop	mixed	NA	NA
A1L0T0	120	ok	FALSE		1.08223444618531	0.183202737014932	0.00917816554375504	ms2	balanced	protein	drop	mixed	NA	NA
A1X283	120	ok	FALSE		0.078485398103148	0.00655615630641854	0.00211226203391144	ms2	balanced	protein	drop	mixed	NA	NA
A3KMH1	120	ok	FALSE		1.62132579603482	0.108228891643929	0.0553544864024197	ms2	balanced	protein	drop	mixed	NA	NA
A5YKK6	120	ok	FALSE		0.129802291783997	0.0210307606412824	0.00318413940230488	ms2	balanced	protein	drop	mixed	NA	NA
A6NDG6	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.00847017227477	0	0.00954656360311235	ms2	balanced	protein	drop	mixed	NA	NA
A6NHR9	120	ok	FALSE		0.351070564510899	0.221568488358071	0.0048183138489871	ms2	balanced	protein	drop	mixed	NA	NA
A6ZKI3	120	ok	FALSE		0.110319962030747	0.0270798515548901	0.0083597029662516	ms2	balanced	protein	drop	mixed	NA	NA
L0R6Q1	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.17950474562264	7.5895438244565e-12	0.00275565600072339	ms2	balanced	protein	drop	mixed	NA	NA
O00115	120	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.321463837676043	0	0.00394746995206942	ms2	balanced	protein	drop	mixed	NA	NA
O00116	120	ok	FALSE		0.0579208207716901	0.0425360336231778	0.000763740239063936	ms2	balanced	protein	drop	mixed	NA	NA
O00139	120	ok	FALSE		0.203872736102034	0.00464720675874282	0.00151165419151273	ms2	balanced	protein	drop	mixed	NA	NA
