sample	dim1	dim2	Run	Channel	Condition	Mixture	TechRepMixture	BioReplicate	Fraction	run_short	mixture_short	runCol	quantCols	dataset	n_complete_proteins	var_explained_dim1	var_explained_dim2
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..127C	6.12090598086051	-3.40695702154417	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	127C	0.125	Mixture1	1	0.125	1	Mixture1_01	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..127C	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..127N	5.97753078843312	-3.48643850655558	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	127N	0.667	Mixture1	1	0.667	1	Mixture1_01	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..127N	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..128C	6.11783397951967	-3.40095199444125	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	128C	1	Mixture1	1	1	1	Mixture1_01	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..128C	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..128N	6.09053021106378	-3.52143223614654	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	128N	0.5	Mixture1	1	0.5	1	Mixture1_01	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..128N	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..129C	6.12756948676248	-3.60089811293714	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	129C	0.5	Mixture1	1	0.5	1	Mixture1_01	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..129C	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..129N	6.06728352860796	-3.43262961752604	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	129N	0.125	Mixture1	1	0.125	1	Mixture1_01	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..129N	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..130C	6.19207306752024	-3.29255355605641	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	130C	0.667	Mixture1	1	0.667	1	Mixture1_01	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..130C	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..130N	6.1081804153737	-3.45481490452621	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	130N	1	Mixture1	1	1	1	Mixture1_01	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..130N	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..127C	-2.59681734199267	-6.70834760205232	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	127C	0.125	Mixture1	2	0.125	1	Mixture1_02	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..127C	spikein1	1904	0.0863980653015579	0.0840379917828363
161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..127N	-2.58459295513853	-6.37585433505436	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	127N	0.667	Mixture1	2	0.667	1	Mixture1_02	Mixture1	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..127N	spikein1	1904	0.0863980653015579	0.0840379917828363
