run	n_psms	channel_values_zero	channel_values_na	psms_all_zero	psms_any_zero	n_psms_after_filters	channel_values_na_after	frac_values_na_after	dataset
Mixture1_01	18429	0	4689	0	1119	17553	1631	0.0093	spikein1
Mixture1_02	18168	0	3974	0	983	17335	1441	0.0083	spikein1
Mixture1_03	18742	0	3192	0	841	17934	1165	0.0065	spikein1
Mixture2_01	18942	0	3273	0	819	18160	1151	0.0063	spikein1
Mixture2_02	18440	0	3150	0	803	17604	1134	0.0064	spikein1
Mixture2_03	18711	0	4420	0	1040	17787	1454	0.0082	spikein1
Mixture3_01	18848	0	2943	0	767	18094	1213	0.0067	spikein1
Mixture3_02	18896	0	4294	0	1047	18003	1443	0.008	spikein1
Mixture3_03	18689	0	2824	0	762	17892	1190	0.0067	spikein1
Mixture4_01	18572	0	3218	0	811	17770	1226	0.0069	spikein1
Mixture4_02	18743	0	3360	0	834	17950	1200	0.0067	spikein1
Mixture4_03	18291	0	3175	0	811	17501	1163	0.0066	spikein1
Mixture5_01	18761	0	2392	0	699	17952	1077	0.006	spikein1
Mixture5_02	18466	0	3785	0	946	17618	1401	0.008	spikein1
Mixture5_03	18562	0	3512	0	889	17694	1288	0.0073	spikein1
