sample	dim1	dim2	Run	Channel	Condition	Mixture	TechRepMixture	BioReplicate	Fraction	run_short	mixture_short	runCol	quantCols	dataset	n_complete_proteins	var_explained_dim1	var_explained_dim2
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..127C	8.88131852663315	-0.567466358166884	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	127C	0.125	Mixture1	1	0.125	1	Mixture1_01	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..127N	8.73134134937522	-0.57436252978121	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	127N	0.667	Mixture1	1	0.667	1	Mixture1_01	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..128C	8.82040530222625	-0.579955081015542	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	128C	1	Mixture1	1	1	1	Mixture1_01	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..128C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..128N	8.87228477578726	-0.669722186511952	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	128N	0.5	Mixture1	1	0.5	1	Mixture1_01	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..128N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..129C	8.88879215080117	-0.609461872719404	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	129C	0.5	Mixture1	1	0.5	1	Mixture1_01	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..129C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..129N	8.47043815718304	-0.574251056778931	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	129N	0.125	Mixture1	1	0.125	1	Mixture1_01	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..129N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..130C	8.81849588264575	-0.473763254809012	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	130C	0.667	Mixture1	1	0.667	1	Mixture1_01	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..130C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..130N	9.0140436595597	-0.504535805094955	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	130N	1	Mixture1	1	1	1	Mixture1_01	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw	Abundance..130N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..127C	0.96376061119644	-5.60236119001771	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	127C	0.125	Mixture1	2	0.125	1	Mixture1_02	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..127C	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..127N	0.989994934428652	-5.82277058060838	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	127N	0.667	Mixture1	2	0.667	1	Mixture1_02	Mixture1	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw	Abundance..127N	spikein1_ms2	2298	0.094346047838608	0.0832485692823353
