run	sample	median_log2_before	dataset
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..126	15.1356956325571	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..127N	15.122972443484	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..127C	15.1673591852634	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..128N	15.210115507022	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..128C	15.2177367316208	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..129N	15.1715965665195	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..129C	15.2211360823565	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..130N	15.2050148521395	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..130C	15.1830296913144	spikein1_ms2
Mixture1_01	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..131	15.245989855432	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..126	15.2589700394193	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..127N	15.2413387272933	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..127C	15.2846191423953	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..128N	15.3349345988633	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..128C	15.3419815324193	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..129N	15.2853538847073	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..129C	15.3434074566752	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..130N	15.3242152951741	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..130C	15.3001170243237	spikein1_ms2
Mixture1_02	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..131	15.3635954336549	spikein1_ms2
Mixture1_03	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..126	15.6575170385289	spikein1_ms2
Mixture1_03	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..127N	15.6455086346958	spikein1_ms2
Mixture1_03	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..127C	15.6876820347725	spikein1_ms2
Mixture1_03	161122_SILAC_HeLa_UPS1_TMT10_Mixture1_03.raw_Abundance..128N	15.742400105277	spikein1_ms2
