run	n_psms	n_ions	n_proteins	n_channels
"Mixture1_01"	26542	24782	4673	10
"Mixture1_02"	27093	25133	4749	10
"Mixture1_03"	26920	24978	4709	10
"Mixture2_01"	26325	24568	4632	10
"Mixture2_02"	25542	23957	4533	10
"Mixture2_03"	26561	24810	4710	10
"Mixture3_01"	26823	25035	4726	10
"Mixture3_02"	27018	25193	4712	10
"Mixture3_03"	27050	25057	4739	10
"Mixture4_01"	26700	24836	4701	10
"Mixture4_02"	26274	24403	4595	10
"Mixture4_03"	26602	24642	4627	10
"Mixture5_01"	26514	24543	4631	10
"Mixture5_02"	26924	25005	4714	10
"Mixture5_03"	26407	24625	4714	10
