design	contrast	n_proteins	median_se_ratio_naive_over_mixed	median_logfc_diff_naive_minus_mixed	sig_mixed	sig_naive	sig_both	fp_mixed	fp_naive	tp_mixed	tp_naive	fdp_mixed	fdp_naive
balanced	0.5 - 0.125	4235	4.78229320657883	0	45	29	29	6	0	39	29	0.133333333333333	0
balanced	0.667 - 0.125	4235	4.79477450532066	0	51	34	34	11	0	40	34	0.215686274509804	0
balanced	0.667 - 0.5	4235	4.78231761884918	2.7299999999994e-05	35	0	0	3	0	32	0	0.0857142857142857	NA
balanced	1 - 0.125	4235	4.78202830093912	0	56	37	37	16	1	40	36	0.285714285714286	0.027027027027027
balanced	1 - 0.5	4235	4.77641889712996	0	47	20	20	10	0	37	20	0.212765957446809	0
balanced	1 - 0.667	4235	4.78849992870384	0	38	1	1	3	0	35	1	0.0789473684210526	0
unbalanced	0.5 - 0.125	4187	4.63273798595994	0	39	24	24	3	0	36	24	0.0769230769230769	0
unbalanced	0.667 - 0.125	4159	3.29663408692552	0	50	99	36	14	69	36	30	0.28	0.696969696969697
unbalanced	0.667 - 0.5	4158	3.2853292484803	0	24	51	6	6	47	18	4	0.25	0.92156862745098
unbalanced	1 - 0.125	4160	3.29192597841501	0	50	90	36	13	55	37	35	0.26	0.611111111111111
unbalanced	1 - 0.5	4159	3.28683247064765	0	50	63	19	14	47	36	16	0.28	0.746031746031746
unbalanced	1 - 0.667	4199	4.66688887356428	0	36	0	0	3	0	33	0	0.0833333333333333	NA
