run	sample	median_log2_before	dataset
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..126	14.2959752641598	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..127N	14.2854746052707	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..127C	14.3282268014028	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..128N	14.3600022786813	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..128C	14.3733725331379	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..129N	14.3028710220559	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..129C	14.3894882783406	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..130N	14.3701522975202	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..130C	14.3278722083932	spikein1
Mixture1_01	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01.raw_Abundance..131	14.3818768539041	spikein1
Mixture1_02	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..126	14.4001271904382	spikein1
Mixture1_02	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..127N	14.3780434859908	spikein1
Mixture1_02	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..127C	14.4346707988549	spikein1
Mixture1_02	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..128N	14.4610261039017	spikein1
Mixture1_02	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..128C	14.4781053205204	spikein1
Mixture1_02	161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02.raw_Abundance..129N	14.4046405241312	spikein1
