run	n_psms	n_ions	n_proteins	n_channels
"Mixture1_01"	21024	20048	4073	10
"Mixture1_02"	20958	19881	4105	10
"Mixture1_03"	21342	20291	4115	10
"Mixture2_01"	21427	20475	4120	10
"Mixture2_02"	21066	19936	4071	10
"Mixture2_03"	21164	20201	4113	10
"Mixture3_01"	21411	20420	4176	10
"Mixture3_02"	21455	20471	4150	10
"Mixture3_03"	21296	20212	4145	10
"Mixture4_01"	21211	20162	4069	10
"Mixture4_02"	21326	20330	4074	10
"Mixture4_03"	20781	19768	4017	10
"Mixture5_01"	21338	20206	4111	10
"Mixture5_02"	21012	19974	4046	10
"Mixture5_03"	21132	20048	4106	10
